timestamp,lat,lon,depth,unit,site,rtcfail
2017-04-11 14:10:09 GMT+5,83.4422334,-64.4149817,36.64,4,2,0
2017-04-11 14:10:12 GMT+5,83.4422267,-64.4149533,41.08,4,2,0
2017-04-11 14:10:15 GMT+5,83.44222,-64.4149333,48.74,4,2,0
2017-04-11 14:10:17 GMT+5,83.4422116,-64.41492,47.85,4,2,0
2017-04-11 14:10:19 GMT+5,83.4421917,-64.4148717,43.8,4,2,0
2017-04-11 14:10:21 GMT+5,83.44218,-64.41484,39.36,4,2,0
2017-04-11 14:10:23 GMT+5,83.4421683,-64.4148133,44.8,4,2,0
2017-04-11 14:10:26 GMT+5,83.4421533,-64.414775,52.62,4,2,0
2017-04-11 14:10:31 GMT+5,83.442135,-64.4147383,56.68,4,2,0
2017-04-11 14:10:34 GMT+5,83.4421233,-64.4146933,57.56,4,2,0
2017-04-11 14:10:40 GMT+5,83.4421116,-64.4146684,56.01,4,2,0
2017-04-11 14:10:46 GMT+5,83.4420983,-64.4146867,50.57,4,2,0
2017-04-11 14:10:51 GMT+5,83.4420883,-64.4146517,42.36,4,2,0
2017-04-11 14:10:54 GMT+5,83.44208,-64.41463,21.1,4,2,0
2017-04-11 14:10:56 GMT+5,83.4420734,-64.4146,18.1,4,2,0
2017-04-11 14:10:58 GMT+5,83.4420633,-64.4145667,15.16,4,2,0
2017-04-11 14:11:00 GMT+5,83.44205,-64.41453,22.26,4,2,0
2017-04-11 14:11:02 GMT+5,83.4420366,-64.4144967,31.03,4,2,0
2017-04-11 14:11:04 GMT+5,83.4420233,-64.4144516,46.52,4,2,0
2017-04-11 14:11:06 GMT+5,83.4420183,-64.4144267,48.96,4,2,0
2017-04-11 14:11:08 GMT+5,83.442,-64.414385,48.63,4,2,0
2017-04-11 14:11:11 GMT+5,83.4419866,-64.4143467,48.8,4,2,0
2017-04-11 14:11:14 GMT+5,83.4419633,-64.4142733,50.74,4,2,0
2017-04-11 14:11:18 GMT+5,83.4419517,-64.41422,48.8,4,2,0
2017-04-11 14:11:22 GMT+5,83.4419433,-64.4141883,51.9,4,2,0
2017-04-11 14:11:26 GMT+5,83.441925,-64.4141467,50.52,4,2,0
2017-04-11 14:11:29 GMT+5,83.4419117,-64.4141,51.35,4,2,0
2017-04-11 14:11:33 GMT+5,83.4419033,-64.414065,49.57,4,2,0
2017-04-11 14:11:36 GMT+5,83.4418933,-64.4140417,57.4,4,2,0
2017-04-11 14:11:38 GMT+5,83.4418834,-64.4140283,59.01,4,2,0
2017-04-11 14:11:41 GMT+5,83.4418717,-64.4140067,52.74,4,2,0
2017-04-11 14:11:44 GMT+5,83.4418634,-64.4139883,52.79,4,2,0
2017-04-11 14:11:48 GMT+5,83.4418417,-64.4139317,46.96,4,2,0
2017-04-11 14:11:51 GMT+5,83.441835,-64.41393,50.79,4,2,0
2017-04-11 14:11:54 GMT+5,83.4418284,-64.4139117,35.59,4,2,0
2017-04-11 14:11:56 GMT+5,83.4418116,-64.4138816,32.75,4,2,0
2017-04-11 14:11:58 GMT+5,83.4418017,-64.41385,41.14,4,2,0
2017-04-11 14:12:01 GMT+5,83.4417867,-64.4138084,37.36,4,2,0
2017-04-11 14:12:04 GMT+5,83.4417716,-64.413755,36.42,4,2,0
2017-04-11 14:12:06 GMT+5,83.4417683,-64.413735,26.26,4,2,0
2017-04-11 14:12:09 GMT+5,83.44176,-64.4137267,26.76,4,2,0
2017-04-11 14:12:12 GMT+5,83.441735,-64.41368,23.43,4,2,0
2017-04-11 14:12:17 GMT+5,83.4417216,-64.4136383,30.53,4,2,0
2017-04-11 14:12:20 GMT+5,83.44171,-64.4136217,40.64,4,2,0
2017-04-11 14:12:23 GMT+5,83.441705,-64.4136117,44.19,4,2,0
2017-04-11 14:12:25 GMT+5,83.44169,-64.4135567,40.3,4,2,0
2017-04-11 14:12:28 GMT+5,83.441675,-64.4135083,36.86,4,2,0
2017-04-11 14:12:30 GMT+5,83.4416667,-64.41349,38.75,4,2,0
2017-04-11 14:12:33 GMT+5,83.44165,-64.4134584,34.42,4,2,0
2017-04-11 14:12:35 GMT+5,83.44164,-64.4134267,35.14,4,2,0
2017-04-11 14:12:37 GMT+5,83.4416317,-64.413395,37.53,4,2,0
2017-04-11 14:12:39 GMT+5,83.4416184,-64.4133417,37.36,4,2,0
2017-04-11 14:12:42 GMT+5,83.4416017,-64.4132834,41.75,4,2,0
2017-04-11 14:12:45 GMT+5,83.441585,-64.4132384,41.97,4,2,0
2017-04-11 14:12:48 GMT+5,83.4415783,-64.4132067,36.25,4,2,0
2017-04-11 14:12:50 GMT+5,83.44157,-64.41319,33.53,4,2,0
2017-04-11 14:12:53 GMT+5,83.4415617,-64.413165,35.53,4,2,0
2017-04-11 14:12:55 GMT+5,83.4415234,-64.4130867,37.92,4,2,0
2017-04-11 14:12:58 GMT+5,83.4415134,-64.4130533,39.08,4,2,0
2017-04-11 14:13:02 GMT+5,83.4415067,-64.413025,45.46,4,2,0
2017-04-11 14:13:06 GMT+5,83.441485,-64.412965,45.63,4,2,0
2017-04-11 14:13:10 GMT+5,83.4414667,-64.4129033,44.97,4,2,0
2017-04-11 14:13:14 GMT+5,83.44146,-64.4128767,40.64,4,2,0
2017-04-11 14:13:18 GMT+5,83.4414533,-64.41286,34.97,4,2,0
2017-04-11 14:13:21 GMT+5,83.4414283,-64.4127816,26.98,4,2,0
2017-04-11 14:13:24 GMT+5,83.4414267,-64.4127833,39.64,4,2,0
2017-04-11 14:13:31 GMT+5,83.4414233,-64.412785,47.07,4,2,0
2017-04-11 14:13:36 GMT+5,83.441405,-64.4127466,41.19,4,2,0
2017-04-11 14:13:41 GMT+5,83.4413983,-64.4127134,49.96,4,2,0
2017-04-11 14:14:07 GMT+5,83.441325,-64.4125684,17.88,4,2,0
2017-04-11 14:14:27 GMT+5,83.4412917,-64.4124717,39.97,4,2,0
2017-04-11 14:14:35 GMT+5,83.4412783,-64.4124266,31.42,4,2,0
2017-04-11 14:14:42 GMT+5,83.441245,-64.4123367,39.3,4,2,0
2017-04-11 14:14:45 GMT+5,83.4412366,-64.4123134,27.26,4,2,0
2017-04-11 14:14:47 GMT+5,83.4412217,-64.4122683,29.2,4,2,0
2017-04-11 14:14:49 GMT+5,83.4412117,-64.4122467,30.87,4,2,0
2017-04-11 14:14:51 GMT+5,83.4412,-64.412215,32.75,4,2,0
2017-04-11 14:14:55 GMT+5,83.4411783,-64.41215,37.08,4,2,0
2017-04-11 14:14:58 GMT+5,83.4411667,-64.4121233,40.03,4,2,0
2017-04-11 14:15:05 GMT+5,83.4411316,-64.41207,38.58,4,2,0
2017-04-11 14:15:44 GMT+5,83.441025,-64.4117833,15.55,4,2,0
2017-04-11 14:15:50 GMT+5,83.4410167,-64.4117666,54.51,4,2,0
2017-04-11 14:16:10 GMT+5,83.4409517,-64.4116116,62.17,4,2,0
2017-04-11 14:18:20 GMT+5,83.4406066,-64.4109116,0.784,4,2,0
2017-04-11 14:18:23 GMT+5,83.4405967,-64.4109,17.16,4,2,0
2017-04-11 14:18:27 GMT+5,83.44057,-64.410865,13.44,4,2,0
2017-04-11 14:18:30 GMT+5,83.44056,-64.410845,22.99,4,2,0
2017-04-11 14:18:50 GMT+5,83.440465,-64.410705,56.29,4,2,0
2017-04-11 14:19:15 GMT+5,83.44038,-64.4105483,41.25,4,2,0
2017-04-11 14:19:17 GMT+5,83.4403634,-64.4105183,37.08,4,2,0
2017-04-11 14:19:27 GMT+5,83.4403317,-64.4104967,46.52,4,2,0
2017-04-11 14:19:30 GMT+5,83.44032,-64.4104833,38.03,4,2,0
2017-04-11 14:19:36 GMT+5,83.440305,-64.4104384,41.25,4,2,0
2017-04-11 14:19:39 GMT+5,83.4403033,-64.410465,44.58,4,2,0
2017-04-11 14:19:45 GMT+5,83.4402883,-64.4104867,43.97,4,2,0
2017-04-11 14:19:48 GMT+5,83.4402833,-64.4104384,44.58,4,2,0
2017-04-11 14:19:52 GMT+5,83.440275,-64.4104333,44.13,4,2,0
2017-04-11 14:19:56 GMT+5,83.4402584,-64.4104183,43.63,4,2,0
2017-04-11 14:20:02 GMT+5,83.44024,-64.4103933,35.31,4,2,0
2017-04-11 14:20:06 GMT+5,83.4402284,-64.4103866,34.53,4,2,0
2017-04-11 14:20:09 GMT+5,83.4402217,-64.4103767,21.43,4,2,0
2017-04-11 14:20:12 GMT+5,83.44021,-64.410365,21.54,4,2,0
2017-04-11 14:20:18 GMT+5,83.440185,-64.410335,39.97,4,2,0
2017-04-11 14:20:21 GMT+5,83.44017,-64.4103117,32.98,4,2,0
2017-04-11 14:20:24 GMT+5,83.4401583,-64.4102734,28.81,4,2,0
2017-04-11 14:20:27 GMT+5,83.440145,-64.4102233,47.3,4,2,0
2017-04-11 14:20:34 GMT+5,83.4401117,-64.4101683,34.36,4,2,0
2017-04-11 14:20:45 GMT+5,83.4400767,-64.4100817,34.36,4,2,0
2017-04-11 14:20:52 GMT+5,83.4400534,-64.4100817,17.49,4,2,0
2017-04-11 14:20:55 GMT+5,83.44004,-64.4100617,28.92,4,2,0
2017-04-11 14:21:06 GMT+5,83.4399833,-64.4099417,35.92,4,2,0
